Chromosome,Start,End,cM,strand GRCm39,MGI ID,Feature Type,Symbol,Name
8,95160984,95253900,46.55,+,MGI:3612191,protein coding gene,Nlrc5,"NLR family, CARD domain containing 5"
14,56337342,56340031,28.19,-,MGI:88563,protein coding gene,Ctsg,cathepsin G
5,34653440,34671323,17.89,-,MGI:2386643,protein coding gene,Tnip2,TNFAIP3 interacting protein 2
11,100960859,100968498,64.15,+,MGI:1351641,protein coding gene,Naglu,alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)
9,44714652,44792594,24.84,-,MGI:96995,protein coding gene,Kmt2a,lysine (K)-specific methyltransferase 2A
4,11758157,11817905,5.35,+,MGI:1095414,protein coding gene,Cdh17,cadherin 17
9,14917081,14956774,4.52,-,MGI:1860055,protein coding gene,Panx1,pannexin 1
19,6385009,6390921,4.45,+,MGI:1316736,protein coding gene,Men1,multiple endocrine neoplasia 1
7,18452015,18461173,9.26,+,MGI:1891354,protein coding gene,Psg22,pregnancy-specific beta-1-glycoprotein 22
12,83734926,83781869,38.84,+,MGI:1202717,protein coding gene,Psen1,presenilin 1
12,112620260,112641266,61.2,-,MGI:87986,protein coding gene,Akt1,thymoma viral proto-oncogene 1
5,65082022,65090906,33.53,-,MGI:1341295,protein coding gene,Tlr1,toll-like receptor 1
X,7947705,7956730,3.65,-,MGI:105059,protein coding gene,Was,Wiskott-Aldrich syndrome
17,64588001,64638878,33.24,-,MGI:2159342,protein coding gene,Pja2,praja ring finger ubiquitin ligase 2
1,172409325,172418135,79.99,-,MGI:1921998,protein coding gene,Slamf8,SLAM family member 8
13,94495468,94702825,49.22,+,MGI:1333879,protein coding gene,Ap3b1,"adaptor-related protein complex 3, beta 1 subunit"
11,115007040,115024818,80.59,-,MGI:2442359,protein coding gene,Cd300lf,CD300 molecule like family member F
19,32734977,32803560,28.14,+,MGI:109583,protein coding gene,Pten,phosphatase and tensin homolog
1,75157509,75168654,38.62,-,MGI:2138446,protein coding gene,Atg9a,autophagy related 9A
9,69938778,69945370,39.2,-,MGI:1919327,protein coding gene,Gcnt3,"glucosaminyl (N-acetyl) transferase 3, mucin type"
16,23268167,23339565,14.23,-,MGI:88492,protein coding gene,Masp1,MBL associated serine protease 1
19,44061774,44095919,36.71,-,MGI:99484,protein coding gene,Chuk,conserved helix-loop-helix ubiquitous kinase
9,118307259,118315176,70.21,+,MGI:1201683,protein coding gene,Eomes,eomesodermin
7,139558845,139572475,84.96,-,MGI:107825,protein coding gene,Adam8,a disintegrin and metallopeptidase domain 8
4,94627526,94763213,43.34,+,MGI:98664,protein coding gene,Tek,TEK receptor tyrosine kinase
10,79722146,79724050,39.72,+,MGI:2679229,protein coding gene,Elane,"elastase, neutrophil expressed"
17,34947354,34962856,18.29,-,MGI:88228,protein coding gene,C4b,complement C4B (Chido blood group)
8,62381121,62490735,31.51,+,MGI:2384570,protein coding gene,Ddx60,DExD/H box helicase 60
6,113615428,113671987,52.82,+,MGI:2429603,protein coding gene,Irak2,interleukin-1 receptor-associated kinase 2
14,66390706,66518501,34.36,-,MGI:104908,protein coding gene,Ptk2b,PTK2 protein tyrosine kinase 2 beta
17,34372165,34379203,17.98,+,MGI:95922,protein coding gene,H2-DMb1,"histocompatibility 2, class II, locus Mb1"
9,21983542,21996734,8.23,-,MGI:1349469,protein coding gene,Ecsit,ECSIT signalling integrator
2,101455063,101462874,53.87,+,MGI:97849,protein coding gene,Rag2,recombination activating gene 2
2,103926146,103945699,54.53,+,MGI:109177,protein coding gene,Cd59a,CD59a antigen
1,60948184,60954991,30.58,+,MGI:88556,protein coding gene,Ctla4,cytotoxic T-lymphocyte-associated protein 4
4,136374850,136563299,69,-,MGI:99611,protein coding gene,Ephb2,Eph receptor B2
X,73057520,73067524,37.61,-,MGI:107420,protein coding gene,Irak1,interleukin-1 receptor-associated kinase 1
1,149705369,149837041,63.51,-,MGI:1195256,protein coding gene,Pla2g4a,"phospholipase A2, group IVA (cytosolic, calcium-dependent)"
5,90375025,90514436,44.32,-,MGI:1932101,protein coding gene,Ankrd17,ankyrin repeat domain 17
2,103900127,103920619,54.51,+,MGI:1888996,protein coding gene,Cd59b,CD59b antigen
19,5687511,5698158,4.34,+,MGI:103290,protein coding gene,Rela,v-rel reticuloendotheliosis viral oncogene homolog A (avian)
12,55536195,55539432,24,-,MGI:104741,protein coding gene,Nfkbia,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"
11,82955938,82961504,50.3,+,MGI:1313258,protein coding gene,Slfn2,schlafen 2
14,14475014,14504586,4.67,+,MGI:1314633,protein coding gene,Dnase1l3,deoxyribonuclease 1-like 3
8,123151515,123159669,71.04,-,MGI:1316658,protein coding gene,Cyba,"cytochrome b-245, alpha polypeptide"
16,3855007,3857888,2.37,+,MGI:103157,protein coding gene,Dnase1,deoxyribonuclease I
12,69418924,69420557,28.81,+,MGI:99435,protein coding gene,Arf6,ADP-ribosylation factor 6
8,112262652,112352352,57.98,+,MGI:2177308,protein coding gene,Znrf1,zinc and ring finger 1
11,87754826,87766362,52.25,-,MGI:107569,protein coding gene,Epx,eosinophil peroxidase
6,65567382,65611024,30.26,+,MGI:3041165,protein coding gene,Tnip3,TNFAIP3 interacting protein 3
1,182782353,182804010,86.12,+,MGI:1858171,protein coding gene,Tlr5,toll-like receptor 5
11,69471185,69482699,42.83,+,MGI:98834,protein coding gene,Trp53,transformation related protein 53
19,59891316,59932086,56.28,-,MGI:1922248,protein coding gene,Rab11fip2,RAB11 family interacting protein 2 (class I)
7,90099908,90106411,50.59,-,MGI:1913521,protein coding gene,Tmem126a,transmembrane protein 126A
18,21077682,21116919,11.67,+,MGI:1914914,protein coding gene,Rnf125,ring finger protein 125
1,79679979,79753764,40.94,-,MGI:1916618,protein coding gene,Wdfy1,WD repeat and FYVE domain containing 1
9,110946660,111054736,60.92,+,MGI:1918518,protein coding gene,Lrrfip2,leucine rich repeat (in FLII) interacting protein 2
7,43460718,43465783,28.27,+,MGI:1346336,protein coding gene,Klk7,"kallikrein related-peptidase 7 (chymotryptic, stratum corneum)"
1,36800879,36821899,15.41,+,MGI:99613,protein coding gene,Zap70,zeta-chain (TCR) associated protein kinase
16,4501934,4525559,2.46,+,MGI:1933786,protein coding gene,Dnaja3,DnaJ heat shock protein family (Hsp40) member A3
X,105070882,105168532,47.36,+,MGI:99400,protein coding gene,Atp7a,"ATPase, Cu++ transporting, alpha polypeptide"
2,118219099,118305715,59.4,+,MGI:1353427,protein coding gene,Eif2ak4,eukaryotic translation initiation factor 2 alpha kinase 4
17,48037767,48045403,23.98,+,MGI:98909,protein coding gene,Pgc,progastricsin (pepsinogen C)
7,43491395,43500605,28.3,+,MGI:1915918,protein coding gene,Klk5,kallikrein related-peptidase 5
9,22038023,22047007,8.38,-,MGI:87883,protein coding gene,Acp5,"acid phosphatase 5, tartrate resistant"
9,46139928,46141767,25.36,+,MGI:88049,protein coding gene,Apoa1,apolipoprotein A-I
19,34268066,34305172,29.48,+,MGI:95484,protein coding gene,Fas,Fas cell surface death receptor
2,11176922,11306033,8.42,+,MGI:97601,protein coding gene,Prkcq,"protein kinase C, theta"
16,3525082,3535961,2.18,-,MGI:1859396,protein coding gene,Mefv,Mediterranean fever
2,84810805,84813976,49.45,+,MGI:103294,protein coding gene,Prg2,"proteoglycan 2, bone marrow"
17,37209022,37221109,19.16,+,MGI:2385051,protein coding gene,Trim31,tripartite motif-containing 31
4,59905899,59915056,32.81,-,MGI:1353616,protein coding gene,Slc46a2,"solute carrier family 46, member 2"
13,23661846,23673027,9.74,-,MGI:3606486,protein coding gene,Btn2a2,"butyrophilin, subfamily 2, member A2"
19,46318251,46327141,38.81,-,MGI:1914366,protein coding gene,Cuedc2,CUE domain containing 2
1,171052623,171053948,79.22,+,MGI:88050,protein coding gene,Apoa2,apolipoprotein A-II
15,81872036,81924286,38.33,+,MGI:95606,protein coding gene,Xrcc6,X-ray repair complementing defective repair in Chinese hamster cells 6
4,133302056,133311553,66.25,+,MGI:2442492,protein coding gene,Gpatch3,G patch domain containing 3
15,76594820,76599297,36.28,+,MGI:2445060,protein coding gene,Lrrc14,leucine rich repeat containing 14
17,35439151,35454768,18.6,-,MGI:1340031,protein coding gene,Nfkbil1,nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor like 1
17,56818248,56819431,29.37,-,MGI:1341258,protein coding gene,Znrf4,zinc and ring finger 4
1,173790141,173859357,,-,MGI:1347080,protein coding gene,Ifi202a,interferon activated gene 202A
17,34362281,34370529,17.98,+,MGI:95923,protein coding gene,H2-DMb2,"histocompatibility 2, class II, locus Mb2"
X,37490234,37545331,22.67,-,MGI:96748,protein coding gene,Lamp2,lysosomal-associated membrane protein 2
9,7344397,7360461,2.46,+,MGI:97005,protein coding gene,Mmp12,matrix metallopeptidase 12
3,97920854,98057683,42.42,+,MGI:97364,protein coding gene,Notch2,notch 2
17,56719426,56783480,29.32,-,MGI:97815,protein coding gene,Ptprs,protein tyrosine phosphatase receptor type S
7,104058232,104114400,55.69,-,MGI:98178,protein coding gene,Trim30a,tripartite motif-containing 30A
15,42288119,42540373,16.69,-,MGI:108448,protein coding gene,Angpt1,angiopoietin 1
16,18630529,18654011,11.65,+,MGI:109353,protein coding gene,Ufd1,ubiquitin recognition factor in ER-associated degradation 1
8,80366305,80404384,37.74,+,MGI:1098801,protein coding gene,Otud4,OTU domain containing 4
6,142510563,142517340,74.31,-,MGI:1100508,protein coding gene,Kcnj8,"potassium inwardly-rectifying channel, subfamily J, member 8"
17,57541635,57555446,29.74,-,MGI:1925558,protein coding gene,Gpr108,G protein-coupled receptor 108
7,43086562,43087670,28.25,+,MGI:1931250,protein coding gene,Nkg7,natural killer cell group 7 sequence
4,155949180,155953897,87.66,-,MGI:1933107,protein coding gene,Cptp,ceramide-1-phosphate transfer protein
2,109747992,109844602,56.65,+,MGI:1891468,protein coding gene,Lgr4,leucine-rich repeat-containing G protein-coupled receptor 4
18,61688345,61723132,34.62,+,MGI:1934950,protein coding gene,Csnk1a1,"casein kinase 1, alpha 1"
11,78363156,78388580,46.74,-,MGI:2136419,protein coding gene,Sarm1,sterile alpha and HEAT/Armadillo motif containing 1
11,58868919,58882284,36.4,+,MGI:2137355,protein coding gene,Trim11,tripartite motif-containing 11
13,58323970,58363467,30.95,-,MGI:1860276,protein coding gene,Ubqln1,ubiquilin 1
13,103955295,104057022,56.16,-,MGI:1890169,protein coding gene,Erbin,Erbb2 interacting protein
X,132791817,132799178,55.47,-,MGI:1926264,protein coding gene,Tspan6,tetraspanin 6
7,28466192,28488086,16.92,+,MGI:1927664,protein coding gene,Sirt2,sirtuin 2
15,102426627,102432111,57.65,+,MGI:103027,protein coding gene,Tarbp2,"TARBP2, RISC loading complex RNA binding subunit"
1,91729183,91775750,46.24,+,MGI:104685,protein coding gene,Twist2,twist basic helix-loop-helix transcription factor 2
9,40712572,40716498,21.55,+,MGI:105384,protein coding gene,Hspa8,heat shock protein 8
19,10565155,10583018,6.6,-,MGI:2385084,protein coding gene,Tkfc,"triokinase, FMN cyclase"
15,85941896,86021835,40.48,+,MGI:2676308,protein coding gene,Gramd4,GRAM domain containing 4
11,120271196,120328534,84.09,-,MGI:2679787,protein coding gene,Nploc4,"NPL4 homolog, ubiquitin recognition factor"
9,113787625,113855871,64.17,-,MGI:1919429,protein coding gene,Fbxl2,F-box and leucine-rich repeat protein 2
11,117005994,117050094,81.99,+,MGI:1921386,protein coding gene,Sec14l1,SEC14-like lipid binding 1
13,83652153,83815199,43.68,+,MGI:99458,protein coding gene,Mef2c,myocyte enhancer factor 2C
7,24790111,24879292,13.73,-,MGI:101897,protein coding gene,Pou2f2,"POU domain, class 2, transcription factor 2"
10,44144354,44240287,23.24,+,MGI:1277186,protein coding gene,Atg5,autophagy related 5
15,102378974,102408496,57.61,+,MGI:108202,protein coding gene,Pcbp2,poly(rC) binding protein 2
12,86103519,86125815,40.09,-,MGI:98727,protein coding gene,Tgfb3,"transforming growth factor, beta 3"
12,34007670,34009828,14.81,+,MGI:98872,protein coding gene,Twist1,twist basic helix-loop-helix transcription factor 1
2,29980956,29983647,21.15,-,MGI:1913470,protein coding gene,Zdhhc12,"zinc finger, DHHC domain containing 12"
18,12261798,12290444,6.15,+,MGI:1914128,protein coding gene,Riok3,RIO kinase 3
2,39084381,39116361,24.44,-,MGI:1915107,protein coding gene,Ppp6c,"protein phosphatase 6, catalytic subunit"
17,34501718,34506797,17.98,-,MGI:95895,protein coding gene,H2-Aa,"histocompatibility 2, class II antigen A, alpha"
8,25074148,25086987,12.76,-,MGI:96416,protein coding gene,Ido1,"indoleamine 2,3-dioxygenase 1"
4,129442142,129467415,63.26,-,MGI:96756,protein coding gene,Lck,lymphocyte protein tyrosine kinase
6,128864551,128875130,63.1,+,MGI:2136650,protein coding gene,Clec2i,"C-type lectin domain family 2, member i"
2,90260098,90410939,50.19,-,MGI:104574,protein coding gene,Ptprj,protein tyrosine phosphatase receptor type J
11,106642052,106659620,70,+,MGI:2685731,protein coding gene,Milr1,mast cell immunoglobulin like receptor 1
16,31482261,31692174,22.4,+,MGI:107231,protein coding gene,Dlg1,discs large MAGUK scaffold protein 1
10,82531994,82578262,39.93,+,MGI:1915183,protein coding gene,Hcfc2,host cell factor C2
7,44883056,44888539,29.2,-,MGI:88330,protein coding gene,Cd37,CD37 antigen
1,133606829,133617846,57.95,-,MGI:2443362,protein coding gene,Lax1,lymphocyte transmembrane adaptor 1
8,10056229,10086000,4.55,+,MGI:1344376,protein coding gene,Tnfsf13b,"tumor necrosis factor (ligand) superfamily, member 13b"
7,87927293,87960096,49.11,+,MGI:109553,protein coding gene,Ctsc,cathepsin C
18,44096302,44155568,23.74,+,MGI:1919682,protein coding gene,Spink5,"serine peptidase inhibitor, Kazal type 5"
6,17306387,17341323,7.73,+,MGI:102709,protein coding gene,Cav1,"caveolin 1, caveolae protein"
10,108167982,108250101,56.43,+,MGI:2149961,protein coding gene,Pawr,"PRKC, apoptosis, WT1, regulator"
9,43954681,43959876,24.52,+,MGI:98747,protein coding gene,Thy1,"thymus cell antigen 1, theta"
4,34550937,34566908,16.8,+,MGI:1889364,protein coding gene,Akirin2,akirin 2
14,36824097,36832058,21.29,-,MGI:1917295,protein coding gene,Gpr15lg,G protein coupled receptor 15 ligand
3,89110235,89116273,39.01,+,MGI:95665,protein coding gene,Gba1,glucosylceramidase beta 1
12,110657470,110662829,60.75,-,MGI:96250,protein coding gene,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1"
3,142202695,142228105,66.69,+,MGI:2429943,protein coding gene,Gbp5,guanylate binding protein 5
6,129022864,129034427,63.12,+,MGI:2442965,protein coding gene,Klrb1f,killer cell lectin-like receptor subfamily B member 1F
6,128682799,128700022,63.08,-,MGI:96877,protein coding gene,Klrb1,killer cell lectin-like receptor subfamily B member 1
6,78443252,78445855,34.78,-,MGI:109406,protein coding gene,Reg3g,regenerating islet-derived 3 gamma
9,92132265,92154034,48.35,+,MGI:893575,protein coding gene,Plscr1,phospholipid scramblase 1
5,90907219,90909483,44.78,+,MGI:1096868,protein coding gene,Cxcl5,C-X-C motif chemokine ligand 5
7,101312958,101444667,54.63,+,MGI:1100517,protein coding gene,Clpb,ClpB caseinolytic peptidase B
12,79177562,79203075,35.51,+,MGI:1330806,protein coding gene,Arg2,arginase type II
3,142326424,142343769,66.69,+,MGI:102772,protein coding gene,Gbp2,guanylate binding protein 2
17,43327446,43400079,19.69,+,MGI:2151075,protein coding gene,Tnfrsf21,"tumor necrosis factor receptor superfamily, member 21"
6,128586190,128599897,63.06,-,MGI:107540,protein coding gene,Klrb1a,killer cell lectin-like receptor subfamily B member 1A
3,100732775,100804238,43.78,+,MGI:3039619,protein coding gene,Vtcn1,V-set domain containing T cell activation inhibitor 1
11,53611621,53615930,31.99,+,MGI:96557,protein coding gene,Il5,interleukin 5
6,115337912,115467360,53.41,+,MGI:97747,protein coding gene,Pparg,peroxisome proliferator activated receptor gamma
3,105634583,105708652,46.45,-,MGI:97852,protein coding gene,Rap1a,RAS-related protein 1a
7,44647072,44652272,29.07,+,MGI:1859179,protein coding gene,Irf3,interferon regulatory factor 3
10,121382360,121422692,69.84,-,MGI:1929658,protein coding gene,Tbk1,TANK-binding kinase 1
2,29509732,29630376,20.32,+,MGI:104580,protein coding gene,Rapgef1,Rap guanine nucleotide exchange factor (GEF) 1
11,70983062,71035530,43.21,-,MGI:2684861,protein coding gene,Nlrp1a,"NLR family, pyrin domain containing 1A"
8,106412906,106424819,53.04,+,MGI:2685431,protein coding gene,Carmil2,capping protein regulator and myosin 1 linker 2
1,173178445,173293606,80.33,+,MGI:2686159,protein coding gene,Aim2,absent in melanoma 2
11,80074677,80090583,47.59,+,MGI:1919206,protein coding gene,Rnf135,ring finger protein 135
18,35866732,35873607,19.23,-,MGI:1919762,protein coding gene,Sting1,stimulator of interferon response cGAMP interactor 1
11,51989651,52013576,31.86,+,MGI:1321159,protein coding gene,Ppp2ca,"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform"
11,88890202,88911119,54.34,+,MGI:102749,protein coding gene,Trim25,tripartite motif-containing 25
17,79159993,79190002,49.56,-,MGI:1353449,protein coding gene,Eif2ak2,eukaryotic translation initiation factor 2-alpha kinase 2
2,157265828,157313758,78.35,+,MGI:98397,protein coding gene,Src,Rous sarcoma oncogene
11,71043928,71121559,43.23,-,MGI:3582959,protein coding gene,Nlrp1b,"NLR family, pyrin domain containing 1B"
2,62426142,62476599,35.85,-,MGI:1918836,protein coding gene,Ifih1,interferon induced with helicase C domain 1
12,102521228,102531287,51.66,+,MGI:88394,protein coding gene,Chga,chromogranin A
1,186699613,186702824,90.09,+,MGI:91842,protein coding gene,D1Pas1,"DNA segment, Chr 1, Pasteur Institute 1"
17,35188335,35191132,18.51,-,MGI:96244,protein coding gene,Hspa1a,heat shock protein 1A
5,115061299,115075974,55.99,+,MGI:2180849,protein coding gene,Oasl1,2'-5' oligoadenylate synthetase-like 1
9,58431583,58462316,31.79,-,MGI:2183926,protein coding gene,Cd276,CD276 antigen
7,15671760,15680033,8.64,-,MGI:2154441,protein coding gene,Nop53,NOP53 ribosome biogenesis factor
X,74460234,74497607,38.22,+,MGI:2389572,protein coding gene,Brcc3,"BRCA1/BRCA2-containing complex, subunit 3"
11,70874917,70895258,43.21,-,MGI:2445102,protein coding gene,Dhx33,DEAH-box helicase 33
3,127582524,127592043,56.54,+,MGI:2182965,protein coding gene,Tifa,TRAF-interacting protein with forkhead-associated domain
14,33099855,33169115,20.22,-,MGI:1346861,protein coding gene,Mapk8,mitogen-activated protein kinase 8
4,42772860,42773991,22.43,-,MGI:1349183,protein coding gene,Ccl21a,C-C motif chemokine ligand 21 (serine)
8,47192767,47300493,26.42,+,MGI:96591,protein coding gene,Irf2,interferon regulatory factor 2
15,78810925,78814665,37.7,+,MGI:96777,protein coding gene,Lgals1,"lectin, galactose binding, soluble 1"
11,75623695,75656671,45.92,+,MGI:894689,protein coding gene,Ywhae,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"
17,36134243,36143674,18.7,+,MGI:1100500,protein coding gene,Flot1,flotillin 1
2,84518314,84545524,49.45,-,MGI:1923573,protein coding gene,Zdhhc5,"zinc finger, DHHC domain containing 5"
19,4979745,4993155,4.17,-,MGI:1924963,protein coding gene,Peli3,pellino 3
11,96355419,96649956,59.93,+,MGI:1925723,protein coding gene,Skap1,src family associated phosphoprotein 1
6,38282221,38331538,17.72,-,MGI:1926031,protein coding gene,Zc3hav1,"zinc finger CCCH type, antiviral 1"
4,130390632,130508875,63.43,+,MGI:1931749,protein coding gene,Pum1,pumilio RNA-binding family member 1
12,8724134,8802581,3.92,+,MGI:1931751,protein coding gene,Pum2,pumilio RNA-binding family member 2
19,5653042,5660265,4.34,-,MGI:1932051,protein coding gene,Kat5,K(lysine) acetyltransferase 5
2,127112138,127140852,61.88,+,MGI:2139090,protein coding gene,Stard7,StAR related lipid transfer domain containing 7
7,105253670,105282778,55.91,-,MGI:1860040,protein coding gene,Trim3,tripartite motif-containing 3
6,83770810,83779538,35.96,+,MGI:1860418,protein coding gene,Nagk,N-acetylglucosamine kinase
1,138411575,138547481,60.82,-,MGI:1890645,protein coding gene,Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7
11,54801611,54853743,32.13,-,MGI:1926194,protein coding gene,Tnip1,TNFAIP3 interacting protein 1
16,36570539,36605324,25.97,-,MGI:1890457,protein coding gene,Slc15a2,"solute carrier family 15 (H+/peptide transporter), member 2"
13,12454296,12479825,4.64,-,MGI:1928481,protein coding gene,Lgals8,"lectin, galactose binding, soluble 8"
19,10819908,10835279,7.23,+,MGI:1929691,protein coding gene,Slc15a3,"solute carrier family 15, member 3"
X,13147261,13160222,8.17,+,MGI:103064,protein coding gene,Ddx3x,"DEAD box helicase 3, X-linked"
5,107864521,107873671,52.23,-,MGI:103170,protein coding gene,Gfi1,growth factor independent 1 transcription repressor
4,156098300,156101069,87.68,+,MGI:104512,protein coding gene,Tnfrsf4,"tumor necrosis factor receptor superfamily, member 4"
X,158038652,158151240,73.27,+,MGI:104557,protein coding gene,Rps6ka3,ribosomal protein S6 kinase polypeptide 3
11,114932957,114939235,80.58,-,MGI:2687214,protein coding gene,Cd300ld3,CD300 molecule like family member D3
15,82105944,82108570,38.56,-,MGI:1919299,protein coding gene,Tnfrsf13c,"tumor necrosis factor receptor superfamily, member 13c"
7,19158700,19192746,9.78,-,MGI:1920955,protein coding gene,Mark4,MAP/microtubule affinity regulating kinase 4
6,125209585,125213973,59.32,-,MGI:88326,protein coding gene,Cd27,CD27 antigen
17,35175412,35178214,18.5,-,MGI:99517,protein coding gene,Hspa1b,heat shock protein 1B
12,50388014,50695881,21.78,-,MGI:99879,protein coding gene,Prkd1,protein kinase D1
9,107132126,107167076,57.98,-,MGI:2143163,protein coding gene,Mapkapk3,mitogen-activated protein kinase-activated protein kinase 3
18,9707648,9877995,4.91,+,MGI:2152907,protein coding gene,Colec12,collectin sub-family member 12
14,55170152,55173294,28,+,MGI:2155888,protein coding gene,Il25,interleukin 25
X,166025692,166047325,78.29,-,MGI:2176887,protein coding gene,Tlr8,toll-like receptor 8
12,111132804,111233587,60.94,+,MGI:108041,protein coding gene,Traf3,TNF receptor-associated factor 3
X,105186881,105204099,47.36,+,MGI:3045213,protein coding gene,Tlr13,toll-like receptor 13
4,128509239,128512412,62.08,-,MGI:3045221,protein coding gene,Tlr12,toll-like receptor 12
14,50595371,50601120,26.07,+,MGI:3045226,protein coding gene,Tlr11,toll-like receptor 11
10,89290096,89369447,44.98,-,MGI:1352464,protein coding gene,Nr1h4,"nuclear receptor subfamily 1, group H, member 4"
10,4561989,4955633,2.03,+,MGI:1352467,protein coding gene,Esr1,estrogen receptor 1 (alpha)
10,108534905,108536021,56.63,-,MGI:3647286,protein coding gene,Brcc3dc,"BRCA1/BRCA2-containing complex, subunit 3, domain containing"
4,111863466,111886735,51.53,+,MGI:3649627,protein coding gene,Skint1,selection and upkeep of intraepithelial T cells 1
19,5497726,5505966,4.33,+,MGI:107179,protein coding gene,Fosl1,fos-like antigen 1
2,126602970,126625380,61.76,-,MGI:1922333,protein coding gene,Usp50,ubiquitin specific peptidase 50
15,27606005,27630793,10.31,-,MGI:3577015,protein coding gene,Otulin,OTU deubiquitinase with linear linkage specificity
4,94524890,94538381,43.34,-,MGI:2140219,protein coding gene,Lrrc19,leucine rich repeat containing 19
17,36208487,36220967,18.75,-,MGI:1913869,protein coding gene,Atat1,alpha tubulin acetyltransferase 1
7,34043569,34089134,19.56,-,MGI:1914320,protein coding gene,Lsm14a,LSM14A mRNA processing body assembly factor
10,130158696,130199338,77.85,+,MGI:1914846,protein coding gene,Tespa1,"thymocyte expressed, positive selection associated 1"
6,35229645,35238574,15.26,+,MGI:1914955,protein coding gene,Stmp1,short transmembrane mitochondrial protein 1
2,152253875,152256711,74.98,-,MGI:1915167,protein coding gene,Zcchc3,"zinc finger, CCHC domain containing 3"
17,37171583,37178102,19.16,-,MGI:1916347,protein coding gene,Trim15,tripartite motif-containing 15
5,137627385,137639361,76.59,+,MGI:1917193,protein coding gene,Lrch4,leucine-rich repeats and calponin homology (CH) domain containing 4
14,121148636,121185411,64.81,+,MGI:1917822,protein coding gene,Ipo5,importin 5
X,84913960,84935105,39.39,+,MGI:1918648,protein coding gene,Tasl,TLR adaptor interacting with endolysosomal SLC15A4
18,77981680,78078228,52.38,+,MGI:1918673,protein coding gene,Epg5,ectopic P-granules 5 autophagy tethering factor
3,127463959,127574176,56.54,-,MGI:1918731,protein coding gene,Alpk1,alpha-kinase 1
1,65225842,65317854,32.94,+,MGI:1335106,protein coding gene,Pikfyve,"phosphoinositide kinase, FYVE type zinc finger containing"
19,3946050,3957133,3.62,-,MGI:1350931,protein coding gene,Tcirg1,"T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
6,41582416,41597443,19.77,+,MGI:1096338,protein coding gene,Ephb6,Eph receptor B6
2,156716071,156729161,77.89,-,MGI:1925049,protein coding gene,Sla2,Src-like-adaptor 2
16,45430803,45443230,29.72,+,MGI:102969,protein coding gene,Gcsam,"germinal center associated, signaling and motility"
7,121464261,121517737,65.07,+,MGI:104696,protein coding gene,Scnn1b,"sodium channel, nonvoltage-gated 1 beta"
16,51851593,52028410,32.88,+,MGI:2146430,protein coding gene,Cblb,Casitas B-lineage lymphoma b
9,44910038,44920925,24.84,-,MGI:88332,protein coding gene,Cd3e,"CD3 antigen, epsilon polypeptide"
10,39245735,39441377,20.51,+,MGI:95602,protein coding gene,Fyn,Fyn proto-oncogene
8,13515374,13544490,6.06,-,MGI:95660,protein coding gene,Gas6,growth arrest specific 6
7,140770839,140773938,86.48,-,MGI:96224,protein coding gene,Hras,Harvey rat sarcoma virus oncogene
7,43057623,43067773,28.25,+,MGI:2443630,protein coding gene,Siglecg,sialic acid binding Ig-like lectin G
10,77865856,77879444,39.72,-,MGI:1338803,protein coding gene,Aire,autoimmune regulator
16,16801246,16865317,10.53,+,MGI:1346858,protein coding gene,Mapk1,mitogen-activated protein kinase 1
11,83416604,83421344,50.66,-,MGI:98262,protein coding gene,Ccl5,C-C motif chemokine ligand 5
8,95498808,95509055,46.79,+,MGI:1097153,protein coding gene,Cx3cl1,C-X3-C motif chemokine ligand 1
11,98042980,98084119,61.75,-,MGI:1100846,protein coding gene,Med1,mediator complex subunit 1
17,34573796,34588469,17.98,+,MGI:1859549,protein coding gene,Btnl2,butyrophilin-like 2
13,23641162,23650071,9.72,-,MGI:103118,protein coding gene,Btn1a1,"butyrophilin, subfamily 1, member A1"
11,101861969,101877839,65.48,-,MGI:1919599,protein coding gene,Dusp3,dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
2,131751848,131780349,64.07,+,MGI:97769,protein coding gene,Prnp,prion protein
4,112470795,112509445,51.53,+,MGI:3649629,protein coding gene,Skint2,selection and upkeep of intraepithelial T cells 2
X,73428325,73436878,38,-,MGI:1913544,protein coding gene,Fam3a,FAM3 metabolism regulating signaling molecule A
1,106465908,106642004,49.76,-,MGI:88138,protein coding gene,Bcl2,B cell leukemia/lymphoma 2
15,4756550,4833527,1.97,+,MGI:88233,protein coding gene,C6,complement component 6
18,66005891,66019667,38.98,+,MGI:95833,protein coding gene,Grp,gastrin releasing peptide
6,119900930,120015633,56.86,-,MGI:2442092,protein coding gene,Wnk1,WNK lysine deficient protein kinase 1
18,61238644,61264211,34.41,+,MGI:1339758,protein coding gene,Csf1r,colony stimulating factor 1 receptor
9,119582829,119654522,71.33,-,MGI:1345149,protein coding gene,Scn11a,"sodium channel, voltage-gated, type XI, alpha"
